"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","1.0568","1.0576","1.0631","1.0461","","-0.07%"
"11/24/2024","1.0575","1.0461","1.0588","1.0457","","1.52%"
"11/17/2024","1.0417","1.0566","1.0604","1.0376","","-1.18%"
"11/10/2024","1.0541","1.0685","1.0693","1.0514","","-1.65%"
"11/03/2024","1.0718","1.0868","1.0934","1.0700","","-1.07%"
"10/27/2024","1.0834","1.0804","1.0895","1.0791","","0.38%"
"10/20/2024","1.0793","1.0838","1.0850","1.0772","","-0.67%"
"10/13/2024","1.0866","1.0921","1.0923","1.0821","","-0.65%"
"10/06/2024","1.0937","1.0974","1.0996","1.0898","","-0.36%"
"09/29/2024","1.0976","1.1157","1.1208","1.0950","","-1.68%"
"09/22/2024","1.1163","1.1161","1.1213","1.1082","","0.01%"
"09/15/2024","1.1162","1.1076","1.1189","1.1067","","0.78%"
"09/08/2024","1.1076","1.1080","1.1101","1.1001","","-0.06%"
"09/01/2024","1.1083","1.1045","1.1155","1.1025","","0.33%"
"08/25/2024","1.1047","1.1186","1.1201","1.1043","","-1.28%"
"08/18/2024","1.1190","1.1022","1.1200","1.1021","","1.47%"
"08/11/2024","1.1028","1.0913","1.1047","1.0910","","1.03%"
"08/04/2024","1.0916","1.0921","1.1008","1.0881","","0.07%"
"07/28/2024","1.0908","1.0862","1.0926","1.0775","","0.47%"
"07/21/2024","1.0857","1.0880","1.0902","1.0824","","-0.18%"
"07/14/2024","1.0877","1.0886","1.0947","1.0870","","-0.27%"
"07/07/2024","1.0906","1.0807","1.0911","1.0800","","0.65%"
"06/30/2024","1.0836","1.0726","1.0842","1.0708","","1.15%"
"06/23/2024","1.0713","1.0686","1.0746","1.0664","","0.21%"
"06/16/2024","1.0691","1.0700","1.0761","1.0668","","-0.08%"
"06/09/2024","1.0700","1.0795","1.0852","1.0666","","-0.93%"
"06/02/2024","1.0800","1.0849","1.0915","1.0798","","-0.38%"
"05/26/2024","1.0841","1.0852","1.0888","1.0786","","-0.04%"
"05/19/2024","1.0845","1.0864","1.0884","1.0803","","-0.23%"
"05/12/2024","1.0870","1.0772","1.0894","1.0764","","0.94%"
"05/05/2024","1.0769","1.0760","1.0790","1.0722","","0.10%"
"04/28/2024","1.0758","1.0693","1.0812","1.0648","","0.62%"
"04/21/2024","1.0692","1.0654","1.0752","1.0622","","0.36%"
"04/14/2024","1.0654","1.0635","1.0689","1.0599","","0.11%"
"04/07/2024","1.0642","1.0841","1.0885","1.0621","","-1.78%"
"03/31/2024","1.0835","1.0786","1.0876","1.0723","","0.39%"
"03/24/2024","1.0793","1.0806","1.0864","1.0766","","-0.11%"
"03/17/2024","1.0805","1.0891","1.0942","1.0800","","-0.75%"
"03/10/2024","1.0887","1.0943","1.0963","1.0871","","-0.46%"
"03/03/2024","1.0937","1.0841","1.0980","1.0836","","0.92%"
"02/25/2024","1.0837","1.0824","1.0865","1.0794","","0.18%"
"02/18/2024","1.0818","1.0775","1.0888","1.0760","","0.41%"
"02/11/2024","1.0774","1.0779","1.0805","1.0693","","-0.07%"
"02/04/2024","1.0782","1.0782","1.0794","1.0721","","-0.02%"
"01/28/2024","1.0784","1.0847","1.0897","1.0778","","-0.63%"
"01/21/2024","1.0852","1.0890","1.0932","1.0811","","-0.41%"
"01/14/2024","1.0897","1.0953","1.0967","1.0843","","-0.47%"
"01/07/2024","1.0949","1.0944","1.0990","1.0909","","0.07%"
"12/31/2023","1.0941","1.1042","1.1046","1.0875","","-0.86%"
"12/24/2023","1.1036","1.1015","1.1139","1.0992","","0.24%"
"12/17/2023","1.1010","1.0901","1.1040","1.0890","","1.06%"
"12/10/2023","1.0894","1.0760","1.1008","1.0740","","1.24%"
"12/03/2023","1.0761","1.0885","1.0894","1.0722","","-1.10%"
"11/26/2023","1.0881","1.0935","1.1017","1.0827","","-0.53%"
"11/19/2023","1.0939","1.0911","1.0964","1.0850","","0.29%"
"11/12/2023","1.0907","1.0682","1.0915","1.0663","","2.12%"
"11/05/2023","1.0681","1.0727","1.0756","1.0654","","-0.45%"
"10/29/2023","1.0729","1.0564","1.0746","1.0515","","1.56%"
"10/22/2023","1.0564","1.0592","1.0693","1.0520","","-0.27%"
"10/15/2023","1.0593","1.0505","1.0616","1.0505","","0.80%"
"10/08/2023","1.0509","1.0561","1.0639","1.0494","","-0.73%"
"10/01/2023","1.0586","1.0566","1.0599","1.0447","","0.15%"
"09/24/2023","1.0570","1.0653","1.0655","1.0486","","-0.77%"
"09/17/2023","1.0652","1.0661","1.0736","1.0613","","-0.03%"
"09/10/2023","1.0655","1.0714","1.0768","1.0629","","-0.41%"
"09/03/2023","1.0699","1.0776","1.0808","1.0685","","-0.69%"
"08/27/2023","1.0773","1.0799","1.0945","1.0769","","-0.25%"
"08/20/2023","1.0800","1.0876","1.0930","1.0764","","-0.60%"
"08/13/2023","1.0865","1.0951","1.0959","1.0843","","-0.72%"
"08/06/2023","1.0944","1.1016","1.1064","1.0927","","-0.60%"
"07/30/2023","1.1010","1.1021","1.1045","1.0910","","-0.05%"
"07/23/2023","1.1015","1.1125","1.1149","1.0942","","-0.97%"
"07/16/2023","1.1123","1.1234","1.1275","1.1106","","-0.93%"
"07/09/2023","1.1227","1.0969","1.1244","1.0942","","2.37%"
"07/02/2023","1.0967","1.0909","1.0973","1.0832","","0.52%"
"06/25/2023","1.0910","1.0895","1.0976","1.0833","","0.19%"
"06/18/2023","1.0889","1.0940","1.1011","1.0841","","-0.40%"
"06/11/2023","1.0933","1.0749","1.0970","1.0731","","1.73%"
"06/04/2023","1.0747","1.0710","1.0786","1.0665","","0.38%"
"05/28/2023","1.0706","1.0724","1.0778","1.0633","","-0.17%"
"05/21/2023","1.0724","1.0813","1.0831","1.0700","","-0.72%"
"05/14/2023","1.0802","1.0854","1.0904","1.0758","","-0.42%"
"05/07/2023","1.0848","1.1031","1.1053","1.0846","","-1.53%"
"04/30/2023","1.1017","1.1034","1.1091","1.0940","","-0.03%"
"04/23/2023","1.1020","1.0989","1.1095","1.0961","","0.30%"
"04/16/2023","1.0987","1.0988","1.0999","1.0907","","-0.12%"
"04/09/2023","1.1000","1.0899","1.1075","1.0830","","0.95%"
"04/02/2023","1.0897","1.0845","1.0973","1.0786","","0.54%"
"03/26/2023","1.0839","1.0765","1.0926","1.0743","","0.74%"
"03/19/2023","1.0759","1.0695","1.0929","1.0630","","0.87%"
"03/12/2023","1.0666","1.0645","1.0759","1.0514","","0.22%"
"03/05/2023","1.0643","1.0618","1.0700","1.0523","","0.10%"
"02/26/2023","1.0632","1.0540","1.0691","1.0531","","0.82%"
"02/19/2023","1.0546","1.0686","1.0704","1.0534","","-1.38%"
"02/12/2023","1.0694","1.0678","1.0804","1.0611","","0.18%"
"02/05/2023","1.0675","1.0789","1.0798","1.0664","","-1.09%"
"01/29/2023","1.0793","1.0873","1.1033","1.0790","","-0.68%"
"01/22/2023","1.0867","1.0858","1.0929","1.0832","","0.11%"
"01/15/2023","1.0855","1.0832","1.0887","1.0764","","0.25%"
"01/08/2023","1.0828","1.0635","1.0867","1.0634","","1.73%"
"01/01/2023","1.0644","1.0700","1.0706","1.0482","","-0.54%"
"12/25/2022","1.0702","1.0609","1.0713","1.0603","","0.83%"
"12/18/2022","1.0614","1.0590","1.0658","1.0571","","0.30%"
"12/11/2022","1.0582","1.0526","1.0735","1.0505","","0.49%"
"12/04/2022","1.0530","1.0515","1.0594","1.0441","","-0.08%"
"11/27/2022","1.0538","1.0380","1.0544","1.0288","","1.38%"
"11/20/2022","1.0395","1.0316","1.0448","1.0221","","0.69%"
"11/13/2022","1.0324","1.0365","1.0480","1.0270","","-0.27%"
"11/06/2022","1.0352","0.9909","1.0364","0.9898","","3.94%"
"10/30/2022","0.9960","0.9946","0.9975","0.9728","","-0.03%"
"10/23/2022","0.9963","0.9865","1.0093","0.9805","","1.04%"
"10/16/2022","0.9860","0.9724","0.9875","0.9703","","1.45%"
"10/09/2022","0.9719","0.9735","0.9808","0.9631","","-0.23%"
"10/02/2022","0.9741","0.9798","0.9999","0.9724","","-0.59%"
"09/25/2022","0.9799","0.9678","0.9853","0.9534","","1.12%"
"09/18/2022","0.9690","1.0010","1.0050","0.9666","","-3.25%"
"09/11/2022","1.0015","1.0078","1.0197","0.9943","","-0.24%"
"09/04/2022","1.0039","0.9948","1.0112","0.9862","","0.88%"
"08/28/2022","0.9951","0.9969","1.0078","0.9909","","-0.10%"
"08/21/2022","0.9961","1.0039","1.0089","0.9899","","-0.73%"
"08/14/2022","1.0034","1.0261","1.0268","1.0030","","-2.18%"
"08/07/2022","1.0258","1.0177","1.0368","1.0157","","0.76%"
"07/31/2022","1.0181","1.0216","1.0293","1.0121","","-0.36%"
"07/24/2022","1.0218","1.0210","1.0257","1.0095","","0.08%"
"07/17/2022","1.0210","1.0083","1.0278","1.0077","","1.22%"
"07/10/2022","1.0087","1.0172","1.0183","0.9950","","-0.94%"
"07/03/2022","1.0183","1.0422","1.0462","1.0070","","-2.35%"
"06/26/2022","1.0428","1.0553","1.0614","1.0365","","-1.19%"
"06/19/2022","1.0554","1.0470","1.0605","1.0467","","0.53%"
"06/12/2022","1.0498","1.0512","1.0601","1.0357","","-0.16%"
"06/05/2022","1.0515","1.0720","1.0773","1.0504","","-1.89%"
"05/29/2022","1.0718","1.0735","1.0786","1.0625","","-0.08%"
"05/22/2022","1.0727","1.0570","1.0764","1.0556","","1.58%"
"05/15/2022","1.0560","1.0404","1.0607","1.0387","","1.43%"
"05/08/2022","1.0411","1.0550","1.0592","1.0348","","-1.33%"
"05/01/2022","1.0551","1.0548","1.0641","1.0481","","0.09%"
"04/24/2022","1.0541","1.0840","1.0841","1.0470","","-2.34%"
"04/17/2022","1.0794","1.0803","1.0936","1.0759","","-0.11%"
"04/10/2022","1.0806","1.0933","1.0950","1.0756","","-0.64%"
"04/03/2022","1.0876","1.1034","1.1054","1.0835","","-1.60%"
"03/27/2022","1.1053","1.0984","1.1184","1.0943","","0.66%"
"03/20/2022","1.0981","1.1057","1.1069","1.0959","","-0.67%"
"03/13/2022","1.1055","1.0941","1.1137","1.0899","","1.34%"
"03/06/2022","1.0909","1.0951","1.1120","1.0804","","-0.16%"
"02/27/2022","1.0926","1.1177","1.1246","1.0884","","-3.03%"
"02/20/2022","1.1267","1.1314","1.1390","1.1105","","-0.48%"
"02/13/2022","1.1321","1.1343","1.1395","1.1278","","-0.25%"
"02/06/2022","1.1349","1.1467","1.1495","1.1328","","-0.85%"
"01/30/2022","1.1446","1.1145","1.1483","1.1137","","2.72%"
"01/23/2022","1.1143","1.1341","1.1345","1.1119","","-1.74%"
"01/16/2022","1.1340","1.1412","1.1434","1.1299","","-0.65%"
"01/09/2022","1.1414","1.1351","1.1482","1.1283","","0.48%"
"01/02/2022","1.1359","1.1352","1.1379","1.1270","","-0.08%"
"12/26/2021","1.1368","1.1316","1.1386","1.1272","","0.45%"
"12/19/2021","1.1317","1.1240","1.1343","1.1233","","0.69%"
"12/12/2021","1.1239","1.1315","1.1360","1.1220","","-0.64%"
"12/05/2021","1.1311","1.1319","1.1354","1.1226","","-0.02%"
"11/28/2021","1.1313","1.1307","1.1382","1.1234","","-0.04%"
"11/21/2021","1.1317","1.1291","1.1330","1.1184","","0.26%"
"11/14/2021","1.1288","1.1450","1.1463","1.1248","","-1.41%"
"11/07/2021","1.1450","1.1554","1.1608","1.1431","","-1.00%"
"10/31/2021","1.1566","1.1557","1.1616","1.1511","","0.04%"
"10/24/2021","1.1561","1.1642","1.1692","1.1533","","-0.74%"
"10/17/2021","1.1647","1.1596","1.1669","1.1570","","0.41%"
"10/10/2021","1.1600","1.1569","1.1624","1.1523","","0.29%"
"10/03/2021","1.1567","1.1591","1.1640","1.1527","","-0.23%"
"09/26/2021","1.1594","1.1723","1.1726","1.1561","","-1.02%"
"09/19/2021","1.1714","1.1730","1.1755","1.1682","","-0.09%"
"09/12/2021","1.1725","1.1812","1.1845","1.1722","","-0.75%"
"09/05/2021","1.1814","1.1877","1.1886","1.1800","","-0.57%"
"08/29/2021","1.1882","1.1791","1.1908","1.1781","","0.75%"
"08/22/2021","1.1793","1.1692","1.1802","1.1690","","0.83%"
"08/15/2021","1.1696","1.1792","1.1800","1.1662","","-0.81%"
"08/08/2021","1.1791","1.1760","1.1804","1.1704","","0.26%"
"08/01/2021","1.1760","1.1862","1.1899","1.1752","","-0.93%"
"07/25/2021","1.1870","1.1776","1.1909","1.1762","","0.84%"
"07/18/2021","1.1771","1.1806","1.1830","1.1750","","-0.29%"
"07/11/2021","1.1805","1.1870","1.1879","1.1770","","-0.57%"
"07/04/2021","1.1873","1.1860","1.1894","1.1780","","0.08%"
"06/27/2021","1.1864","1.1933","1.1944","1.1805","","-0.58%"
"06/20/2021","1.1933","1.1866","1.1975","1.1846","","0.62%"
"06/13/2021","1.1860","1.2108","1.2148","1.1845","","-2.03%"
"06/06/2021","1.2106","1.2166","1.2218","1.2091","","-0.49%"
"05/30/2021","1.2165","1.2190","1.2254","1.2102","","-0.20%"
"05/23/2021","1.2189","1.2176","1.2266","1.2131","","0.08%"
"05/16/2021","1.2179","1.2138","1.2244","1.2124","","0.32%"
"05/09/2021","1.2140","1.2159","1.2180","1.2049","","-0.19%"
"05/02/2021","1.2163","1.2029","1.2171","1.1984","","1.21%"
"04/25/2021","1.2018","1.2092","1.2149","1.2015","","-0.67%"
"04/18/2021","1.2099","1.1982","1.2099","1.1941","","0.97%"
"04/11/2021","1.1983","1.1889","1.1994","1.1869","","0.73%"
"04/04/2021","1.1896","1.1759","1.1927","1.1736","","1.14%"
"03/28/2021","1.1762","1.1793","1.1795","1.1702","","-0.29%"
"03/21/2021","1.1796","1.1897","1.1946","1.1760","","-0.90%"
"03/14/2021","1.1903","1.1950","1.1988","1.1872","","-0.41%"
"03/07/2021","1.1952","1.1920","1.1989","1.1834","","0.29%"
"02/28/2021","1.1917","1.2077","1.2112","1.1892","","-1.30%"
"02/21/2021","1.2074","1.2115","1.2242","1.2060","","-0.35%"
"02/14/2021","1.2117","1.2121","1.2169","1.2021","","-0.01%"
"02/07/2021","1.2118","1.2040","1.2149","1.2018","","0.63%"
"01/31/2021","1.2042","1.2138","1.2144","1.1950","","-0.77%"
"01/24/2021","1.2136","1.2166","1.2183","1.2056","","-0.25%"
"01/17/2021","1.2167","1.2083","1.2189","1.2052","","0.74%"
"01/10/2021","1.2078","1.2215","1.2225","1.2072","","-1.15%"
"01/03/2021","1.2218","1.2229","1.2349","1.2190","","0.05%"
"12/27/2020","1.2212","1.2200","1.2309","1.2179","","0.07%"
"12/20/2020","1.2204","1.2240","1.2256","1.2128","","-0.42%"
"12/13/2020","1.2255","1.2129","1.2273","1.2114","","1.19%"
"12/06/2020","1.2111","1.2128","1.2166","1.2057","","-0.07%"
"11/29/2020","1.2120","1.1957","1.2177","1.1922","","1.32%"
"11/22/2020","1.1962","1.1851","1.1964","1.1799","","0.92%"
"11/15/2020","1.1853","1.1827","1.1893","1.1812","","0.18%"
"11/08/2020","1.1832","1.1881","1.1919","1.1744","","-0.34%"
"11/01/2020","1.1872","1.1656","1.1890","1.1602","","1.93%"
"10/25/2020","1.1647","1.1856","1.1859","1.1638","","-1.79%"
"10/18/2020","1.1859","1.1721","1.1880","1.1701","","1.20%"
"10/11/2020","1.1718","1.1818","1.1826","1.1686","","-0.90%"
"10/04/2020","1.1824","1.1714","1.1831","1.1705","","0.95%"
"09/27/2020","1.1713","1.1636","1.1769","1.1613","","0.71%"
"09/20/2020","1.1630","1.1846","1.1871","1.1611","","-1.75%"
"09/13/2020","1.1837","1.1838","1.1899","1.1735","","-0.07%"
"09/06/2020","1.1845","1.1831","1.1916","1.1751","","0.06%"
"08/30/2020","1.1838","1.1897","1.2011","1.1779","","-0.55%"
"08/23/2020","1.1903","1.1785","1.1919","1.1761","","0.92%"
"08/16/2020","1.1795","1.1838","1.1965","1.1753","","-0.39%"
"08/09/2020","1.1841","1.1786","1.1864","1.1709","","0.47%"
"08/02/2020","1.1786","1.1781","1.1915","1.1694","","0.10%"
"07/26/2020","1.1774","1.1646","1.1908","1.1635","","1.03%"
"07/19/2020","1.1654","1.1408","1.1658","1.1400","","2.00%"
"07/12/2020","1.1426","1.1299","1.1451","1.1295","","1.13%"
"07/05/2020","1.1298","1.1240","1.1370","1.1238","","0.44%"
"06/28/2020","1.1248","1.1225","1.1302","1.1183","","0.28%"
"06/21/2020","1.1217","1.1183","1.1348","1.1167","","0.38%"
"06/14/2020","1.1175","1.1245","1.1352","1.1167","","-0.70%"
"06/07/2020","1.1254","1.1287","1.1422","1.1211","","-0.27%"
"05/31/2020","1.1284","1.1096","1.1383","1.1094","","1.68%"
"05/24/2020","1.1098","1.0902","1.1144","1.0869","","1.82%"
"05/17/2020","1.0900","1.0815","1.1008","1.0798","","0.79%"
"05/10/2020","1.0815","1.0836","1.0895","1.0773","","-0.23%"
"05/03/2020","1.0840","1.0980","1.0980","1.0765","","-1.30%"
"04/26/2020","1.0983","1.0808","1.1017","1.0806","","1.51%"
"04/19/2020","1.0820","1.0873","1.0896","1.0725","","-0.51%"
"04/12/2020","1.0876","1.0941","1.0990","1.0810","","-0.54%"
"04/05/2020","1.0935","1.0813","1.0951","1.0766","","1.18%"
"03/29/2020","1.0808","1.1135","1.1143","1.0771","","-2.98%"
"03/22/2020","1.1140","1.0694","1.1146","1.0635","","4.17%"
"03/15/2020","1.0694","1.1083","1.1236","1.0636","","-3.70%"
"03/08/2020","1.1105","1.1291","1.1492","1.1053","","-1.60%"
"03/01/2020","1.1285","1.1001","1.1354","1.1001","","2.36%"
"02/23/2020","1.1025","1.0839","1.1053","1.0803","","1.68%"
"02/16/2020","1.0843","1.0830","1.0863","1.0775","","0.12%"
"02/09/2020","1.0830","1.0949","1.0957","1.0826","","-1.03%"
"02/02/2020","1.0943","1.1091","1.1095","1.0940","","-1.35%"
"01/26/2020","1.1093","1.1019","1.1096","1.0990","","0.64%"
"01/19/2020","1.1023","1.1090","1.1118","1.1018","","-0.59%"
"01/12/2020","1.1088","1.1123","1.1172","1.1084","","-0.29%"
"01/05/2020","1.1120","1.1166","1.1206","1.1083","","-0.34%"